example_id                                                    | status  | run_time        |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:6]     | passed  | 0.01683 seconds |
./spec/models/manager_spec.rb[1:1]                            | pending | 0.00008 seconds |
./spec/models/message_spec.rb[1:1]                            | pending | 0.00052 seconds |
./spec/models/permission_spec.rb[1:1]                         | pending | 0.00003 seconds |
./spec/models/pre_register_spec.rb[1:1]                       | pending | 0.00002 seconds |
./spec/models/rumor_spec.rb[1:1]                              | pending | 0.00003 seconds |
./spec/models/twitter_api_spec.rb[1:1:1:1]                    | passed  | 0.03532 seconds |
./spec/models/twitter_api_spec.rb[1:1:1:2]                    | passed  | 0.02857 seconds |
./spec/models/twitter_api_spec.rb[1:1:2:1]                    | passed  | 0.03091 seconds |
./spec/models/user_spec.rb[1:1:1:1]                           | failed  | 0.0208 seconds  |
./spec/models/user_spec.rb[1:1:1:2]                           | failed  | 0.1018 seconds  |
./spec/models/user_spec.rb[1:1:1:3]                           | failed  | 0.0153 seconds  |
./spec/models/user_spec.rb[1:1:2:1]                           | failed  | 0.0146 seconds  |
./spec/models/user_spec.rb[1:1:2:2]                           | passed  | 0.01846 seconds |
./spec/models/user_spec.rb[1:1:2:3]                           | failed  | 0.02437 seconds |
./spec/models/user_spec.rb[1:1:2:4]                           | passed  | 0.02691 seconds |
./spec/models/user_spec.rb[1:1:2:5]                           | passed  | 0.01987 seconds |
./spec/models/vaccine_spec.rb[1:1]                            | pending | 0.00002 seconds |
./spec/request/app_spec.rb[1:1:1]                             | passed  | 0.10174 seconds |
./spec/request/app_spec.rb[1:1:2]                             | passed  | 0.12114 seconds |
./spec/requests/city_managers_spec.rb[1:1:1]                  | passed  | 0.10771 seconds |
./spec/requests/form_answers_spec.rb[1:1:1]                   | passed  | 0.03324 seconds |
./spec/requests/form_options_spec.rb[1:1:1]                   | passed  | 0.05482 seconds |
./spec/requests/form_questions_spec.rb[1:1:1]                 | passed  | 0.03985 seconds |
./spec/requests/forms_spec.rb[1:1:1]                          | passed  | 0.03896 seconds |
./spec/requests/messages_spec.rb[1:1:1]                       | passed  | 0.034 seconds   |
./spec/requests/pre_registers_spec.rb[1:1:1]                  | passed  | 0.03885 seconds |
./spec/requests/twitter_apis_spec.rb[1:1:1]                   | passed  | 0.20968 seconds |
./spec/routing/city_managers_routing_spec.rb[1:1:1]           | passed  | 0.01444 seconds |
./spec/routing/city_managers_routing_spec.rb[1:1:2]           | passed  | 0.01511 seconds |
./spec/routing/city_managers_routing_spec.rb[1:1:3]           | passed  | 0.01665 seconds |
./spec/routing/city_managers_routing_spec.rb[1:1:4]           | passed  | 0.01463 seconds |
./spec/routing/city_managers_routing_spec.rb[1:1:5]           | passed  | 0.01667 seconds |
./spec/routing/city_managers_routing_spec.rb[1:1:6]           | passed  | 0.01474 seconds |
./spec/routing/form_answers_routing_spec.rb[1:1:1]            | passed  | 0.01617 seconds |
./spec/routing/form_answers_routing_spec.rb[1:1:2]            | passed  | 0.01514 seconds |
./spec/routing/form_answers_routing_spec.rb[1:1:3]            | passed  | 0.01985 seconds |
./spec/routing/form_answers_routing_spec.rb[1:1:4]            | passed  | 0.017 seconds   |
./spec/routing/form_answers_routing_spec.rb[1:1:5]            | passed  | 0.01765 seconds |
./spec/routing/form_answers_routing_spec.rb[1:1:6]            | passed  | 0.01576 seconds |
./spec/routing/form_options_routing_spec.rb[1:1:1]            | passed  | 0.01808 seconds |
./spec/routing/form_options_routing_spec.rb[1:1:2]            | passed  | 0.01901 seconds |
./spec/routing/form_options_routing_spec.rb[1:1:3]            | passed  | 0.01947 seconds |
./spec/routing/form_options_routing_spec.rb[1:1:4]            | passed  | 0.01944 seconds |
./spec/routing/form_options_routing_spec.rb[1:1:5]            | passed  | 0.01936 seconds |
./spec/routing/form_options_routing_spec.rb[1:1:6]            | passed  | 0.01853 seconds |
./spec/routing/form_questions_routing_spec.rb[1:1:1]          | passed  | 0.04506 seconds |
./spec/routing/form_questions_routing_spec.rb[1:1:2]          | passed  | 0.01739 seconds |
./spec/routing/form_questions_routing_spec.rb[1:1:3]          | passed  | 0.01726 seconds |
./spec/routing/form_questions_routing_spec.rb[1:1:4]          | passed  | 0.01988 seconds |
./spec/routing/form_questions_routing_spec.rb[1:1:5]          | passed  | 0.01678 seconds |
./spec/routing/form_questions_routing_spec.rb[1:1:6]          | passed  | 0.01769 seconds |
./spec/routing/forms_routing_spec.rb[1:1:1]                   | passed  | 0.01654 seconds |
./spec/routing/forms_routing_spec.rb[1:1:2]                   | passed  | 0.01811 seconds |
./spec/routing/forms_routing_spec.rb[1:1:3]                   | passed  | 0.01446 seconds |
./spec/routing/forms_routing_spec.rb[1:1:4]                   | passed  | 0.01588 seconds |
./spec/routing/forms_routing_spec.rb[1:1:5]                   | passed  | 0.01585 seconds |
./spec/routing/forms_routing_spec.rb[1:1:6]                   | passed  | 0.01657 seconds |
./spec/routing/messages_routing_spec.rb[1:1:1]                | passed  | 0.01732 seconds |
./spec/routing/messages_routing_spec.rb[1:1:2]                | passed  | 0.01366 seconds |
./spec/routing/messages_routing_spec.rb[1:1:3]                | passed  | 0.0198 seconds  |
./spec/routing/messages_routing_spec.rb[1:1:4]                | passed  | 0.0172 seconds  |
./spec/routing/messages_routing_spec.rb[1:1:5]                | passed  | 0.01666 seconds |
./spec/routing/messages_routing_spec.rb[1:1:6]                | passed  | 0.01515 seconds |
./spec/routing/pre_registers_routing_spec.rb[1:1:1]           | passed  | 0.01495 seconds |
./spec/routing/pre_registers_routing_spec.rb[1:1:2]           | passed  | 0.0146 seconds  |
./spec/routing/pre_registers_routing_spec.rb[1:1:3]           | passed  | 0.01436 seconds |
./spec/routing/pre_registers_routing_spec.rb[1:1:4]           | passed  | 0.01516 seconds |
./spec/routing/pre_registers_routing_spec.rb[1:1:5]           | passed  | 0.01499 seconds |
./spec/routing/pre_registers_routing_spec.rb[1:1:6]           | passed  | 0.01778 seconds |
./spec/routing/syndromes_routing_spec.rb[1:1:1]               | passed  | 0.0158 seconds  |
./spec/routing/syndromes_routing_spec.rb[1:1:2]               | passed  | 0.01724 seconds |
./spec/routing/syndromes_routing_spec.rb[1:1:3]               | passed  | 0.0162 seconds  |
./spec/routing/syndromes_routing_spec.rb[1:1:4]               | passed  | 0.0132 seconds  |
./spec/routing/syndromes_routing_spec.rb[1:1:5]               | passed  | 0.01432 seconds |
./spec/routing/syndromes_routing_spec.rb[1:1:6]               | passed  | 0.01595 seconds |
./spec/routing/twitter_apis_routing_spec.rb[1:1:1]            | passed  | 0.01495 seconds |
./spec/routing/twitter_apis_routing_spec.rb[1:1:2]            | passed  | 0.01597 seconds |
./spec/routing/twitter_apis_routing_spec.rb[1:1:3]            | passed  | 0.01541 seconds |
./spec/routing/twitter_apis_routing_spec.rb[1:1:4]            | passed  | 0.01727 seconds |
./spec/routing/twitter_apis_routing_spec.rb[1:1:5]            | passed  | 0.01569 seconds |
./spec/routing/twitter_apis_routing_spec.rb[1:1:6]            | passed  | 0.01519 seconds |
